170,November,Yin lo daw chupchi,,ཡིན་ལོ་ཟླ་བ་བཅུ་གཅིག་པོ་,,BLDWG
171,December,Yin lo daw chungi,,ཡིན་ལོ་ཟླ་བ་བཅུ་གཉིས་པོ་,,BLDWG
172,The year 1000,Yishi di lo dongtra gcig,,ཡི་ཤུ་འདས་ལོ་སྟོང་ཕྲག་གཅིག་,,BLDWG
173,The year 2000,Yishu di lo dongtra nyi,,ཡི་ཤུ་འདས་ལོ་སྟོང་ཕྲག་གཉིས་,,BLDWG
174,The year 1910,Yishu di lo chigdong gubgya chu,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་བརྒྱ་བཅུ་,,BLDWG
175,The year 1920,Yishu di lo chigdong gubgya nyishu,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་བརྒྱ་གཉིས་བཅུ་,,BLDWG
176,The year 1930,Yishu di lo  chigdong gubgya sumchu,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་བརྒྱ་གསུམ་བཅུ་,,BLDWG
177,the year 1940,Yishu di lo chigdong gubgya zhibchu,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་བརྒྱ་བཞི་བཅུ་,,BLDWG
178,the year 1950,Yishu di lo chigdong gubgya ngachu,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་བརྒྱ་ལྔ་བཅུ་,,BLDWG
179,the year 1960,Yishu di lo chigdong gubgya  drugchu,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་བརྒྱ་དྲུག་བཅུ་,,BLDWG
180,the year 1970,Yishu di lo chigdong gubgya denchu,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་བརྒྱ་བདུན་བཅུ་,,BLDWG
181,the year 1980,Yishu di lo chigdong gubgya gechu,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་བརྒྱད་བརྒྱད་བཅུ་,,BLDWG
182,the year 1990,Yishu di lo chigdong gubgya gubchu,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་བརྒྱ་དགུ་བཅུ་,,BLDWG
183,the year 2010,Yishu di lo nyidong chu,,ཡི་ཤུ་འདས་ལོ་གཉིས་སྟོང་བཅུ་,,BLDWG
184,the year 2020,Yishu di lo nyidong ngishu,,ཡི་ཤུ་འདས་ལོ་གཉིས་སྟོང་གཉིས་བཅུ་,,BLDWG
185,the year 1991,Yishu di lo chigdong gubgya gubchu go cig,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་གྱ་གོ་གཅིག་,,BLDWG
186,the year 1992,Yishu di lo chigdong gubgya gubchu go nyi,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་གྱ་གོ་གཉིས་,,BLDWG
187,the year1993,Yishu di lo chigdong gubgya gubchu go sum,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་གྱ་གོ་གསུམ་,,BLDWG
188,1994,Yishu di lo chigdong gubgya gubchu go shi,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་གྱ་གོ་བཞི་,,BLDWG
189,1995,Yishu di lo chigdong gubgya gubchu go nga,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་གྱ་གོ་ལྔ་,,BLDWG
190,1996,Yishu di lo chigdong gubgya gubchu go drug,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་གྱ་གོ་འདྲུག་,,BLDWG
191,1997,Yishu di lo chigdong gubgya gubchu go den,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་གྱ་གོ་བདུན་,,BLDWG
192,1998,Yishu di lo chigdong gubgya gubchu go gey,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་བཅུ་བརྒྱད་བཅུ་,,BLDWG
193,1999,Yishu di lo chigdong gubgya gubchu go gu,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་གྱ་གོ་དགུ་,,BLDWG
194,2001,Yishu di lo nyidong chig,,ཡི་ཤུ་འདས་ལོ་གཉིས་སྟོང་གཅིག་,,BLDWG
195,2002,Yishu di lo nyidong nyi,,ཡི་ཤུ་འདས་ལོ་གཉིས་སྟོང་གཉིས་,,BLDWG
196,2003,Yishu di lo nyidongsum,,ཡི་ཤུ་འདས་ལོ་གཉིས་སྟོང་གསུམ་,,BLDWG
197,2004,Yishu di lo nyidongshi,,ཡི་ཤུ་འདས་ལོ་གཉིས་སྟོང་བཞི་,,BLDWG
198,2005,Yishu di lo nyidong nga,,ཡི་ཤུ་འདས་ལོ་གཉིས་སྟོང་ལྔ་,,BLDWG
199,2006,Yishu di lo nyidong drug,,ཡི་ཤུ་འདས་ལོ་གཉིས་སྟོང་འདྲུག་,,BLDWG
200,2007,Yishu di lo nyidong den,,ཡི་ཤུ་འདས་ལོ་གཉིས་སྟོང་བདུན་,,BLDWG
201,2008,Yishu di lo nyidong gyad,,ཡི་ཤུ་འདས་ལོ་གཉིས་སྟོང་བརྒྱད་,,BLDWG
202,2009,Yishu di lo nyidong gu,,ཡི་ཤུ་འདས་ལོ་གཉིས་སྟོང་དགུ་,,BLDWG
203,2011,Yishu di lo nyidong zhupcig,,ཡི་ཤུ་འདས་ལོ་གཉིས་སྟོང་བཅུ་གཅིག་་,,BLDWG
204,2012,Yishu di lo nyidong zhupnyi,,ཡི་ཤུ་འདས་ལོ་གཉིས་སྟོང་བཅུ་གཉིས་,,BLDWG
205,2013,Yishu di lo nyidong zhupsum,,ཡི་ཤུ་འདས་ལོ་གཉིས་སྟོང་བཅུ་གསུམ་,,BLDWG
206,2014,Yishu di lo nyidong zhupshi,,ཡི་ཤུ་འདས་ལོ་གཉིས་སྟོང་བཅུ་བཞི་,,BLDWG
207,2015,Yishu di lo nyidong chenga,,ཡི་ཤུ་འདས་ལོ་གཉིས་སྟོང་བཅོ་ལྔ་,,BLDWG
208,2016,Yishu di lo nyidong zhudrug,,ཡི་ཤུ་འདས་ལོ་གཉིས་སྟོང་བཅུ་འདྲུག་,,BLDWG
209,2017,Yishu di lo nyidong zhupden,,ཡི་ཤུ་འདས་ལོ་གཉིས་སྟོང་བཅུ་བདུན་་,,BLDWG
210,2018,Yishu di lo nyidong zhupgey,,ཡི་ཤུ་འདས་ལོ་གཉིས་སྟོང་བཅོ་བརྒྱད་,,BLDWG
211,2019,Yishu di lo nyidong zhupgu,,ཡི་ཤུ་འདས་ལོ་གཉིས་སྟོང་བཅུ་དགུ་,,BLDWG
212,happened,tensa,,ཏེན་ས་,,BLDWG
213,day,nyen,,ཉིན་,,2001
214,morning,ngaru,shogs,སྔ་རུ་,ཞོགས་,2001
215,afternoon,Nyim-ped,,ཉི་མ་ཕད་,,BLDWG
216,"evening, dusk",thun-tsams,,ཐུན་མཚམས་,ཐུན་མཚམས་,2001
217,night,shag,,ཞག་,,2001
218,one o'clock,chhu-tshoth chig,,ཆུ་ཚོད་གཅིག་,,2001
219,two o'clock,chhu-tshoth nyid,,ཆུ་ཚོད་གཉིས་,,2001
220,three o'clock,chhu-tshoth sum,,ཆུ་ཚོད་གསུམ་,,2001
221,four o'clock,chhu-tshoth shi,,ཆུ་ཚོད་གཞི་,,2001
222,five o'clock,chhu-tshoth nga,,ཆུ་ཚོད་ལྔ་,,2001
223,six o'clock,chhu-tshoth drug,,ཆུ་ཚོད་འདྲུག་,,2001
224,seven o'clock,chhu-tshoth den,,ཆུ་ཚོད་དེན་,,2001
225,eight o'clock,chhu-tshoth gey,,ཆུ་ཚོད་བརྒྱད་ ,,2001
226,nine o 'clock,chhu-tshoth gu,,ཆུ་ཚོད་གུ་,,2001
227,ten o'clock,chhu-tshoth chu,,ཆུ་ཚོད་བཅུ་,,2001
228,eleven o'clock,chhu-tshoth chucig,,ཆུ་ཚོད་བཅུ་གཅིག་,,2001
229,twelve o'clock,chhu-tshoth chunyi,,ཆུ་ཚོད་བཅུ་གཉིས་,,2001
230,directions,choks,,ཕྱོགས་,,2001
231,come,shog,shegs,ཤོག་,གཤེགས་,2001
232,go,chen,shegs,ཆེན་,གཤེགས་,2001
233,leave,gom shu she,log gyu she,གོམ་ཤུ་ཤེ་,ལོག་གྱུ་ཤེ་,BLDWG
234,"take, lead, accept",len,"khyig, thit",ལེན་,"ཁྱིག་, འཁྲིད་","2001, 2004 [2005]"
235,eat,zhe,za,ཞེས་,ཟ་,2001
